url;perfume;brand;country;gender;rating value;rating count;year;top;middle;base;perfumer1;perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;image_url
https://www.fragrantica.com/perfume/chevignon/chevignon-perfumes-28819.html;chevignon-perfumes;chevignon;France;men;3.44;45;2005.0;apple, tangerine, bergamot;plum, cinnamon, jasmine;musk, sandalwood, white amber, moss;unknown;;fruity;citrus;powdery;woody;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.28819.jpg
https://www.fragrantica.com/perfume/faberlic/coquette-28610.html;coquette;faberlic;Russia;women;3.44;180;2014.0;grapefruit, geranium, bergamot, black currant;rose, peony, ginger, cardamom, freesia;cashmere wood, musk;unknown;;rose;floral;citrus;fresh spicy;aromatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.28610.jpg
https://www.fragrantica.com/perfume/mexx/mexx-city-breeze-for-her-55520.html;mexx-city-breeze-for-her;mexx;Netherlands;women;3.44;62;2017.0;sweet orange, pear;jasmine, peony, night blooming cereus;amber, musk, sandalwood;unknown;;white floral;floral;fresh;citrus;sweet;https://fimgs.net/mdimg/perfume-thumbs/375x500.55520.jpg
https://www.fragrantica.com/perfume/chabaud-maison-de-parfum/caprice-de-marie-70499.html;caprice-de-marie;chabaud-maison-de-parfum;France;women;3.44;54;2021.0;black currant, pineapple, pear;peach, caramel;musk, patchouli, natural vanilla;unknown;;fruity;sweet;caramel;musky;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.70499.jpg
https://www.fragrantica.com/perfume/alexandre-j/golden-oud-22357.html;golden-oud;alexandre-j;France;unisex;3.44;191;2012.0;solar notes;white wood, vetiver, sandalwood, patchouli, violet;agarwood (oud), oakmoss, musk;unknown;;woody;earthy;oud;powdery;mossy;https://fimgs.net/mdimg/perfume-thumbs/375x500.22357.jpg
https://www.fragrantica.com/perfume/alysonoldoini/marine-vodka-24152.html;marine-vodka;alysonoldoini;Italy;men;3.44;36;2013.0;sicilian citrus, pineapple, italian melon;vodka, pink pepper, ginger, sage, star anise;calabrian mandarin, indian patchouli, incense, musk, labdanum;benoist lapouza;;citrus;soft spicy;vodka;fresh;warm spicy;https://fimgs.net/mdimg/perfume-thumbs/375x500.24152.jpg
https://www.fragrantica.com/perfume/diesel/diesel-green-feminine-491.html;diesel-green-feminine;diesel;Italy;women;3.44;317;2004.0;ginger, lime;cinnamon, cloves, carnation, jasmine, orange blossom, iris, rose;sandalwood, cedar, amber, vanilla, musk;unknown;;warm spicy;citrus;woody;cinnamon;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.491.jpg
https://www.fragrantica.com/perfume/ellis-brooklyn/west-54791.html;west;ellis-brooklyn;USA;unisex;3.44;446;2019.0;blood orange, clementine, basil, lemon;ginger, pear blossom, water lily;oakmoss, vetiver, amber;unknown;;citrus;fresh spicy;aromatic;earthy;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.54791.jpg
https://www.fragrantica.com/perfume/fzotic/seyrig-32209.html;seyrig;fzotic;USA;unisex;3.44;34;2015.0;aldehydes, blood mandarin;syringa, may rose, lily-of-the-valley, ylang-ylang;oakmoss, musk;bruno fazzolari;;aldehydic;fresh;mossy;white floral;earthy;https://fimgs.net/mdimg/perfume-thumbs/375x500.32209.jpg
https://www.fragrantica.com/perfume/john-varvatos/star-usa-12965.html;star-usa;john-varvatos;USA;men;3.44;284;2011.0;citron, ginger, juniper berries;woodsy notes, spruce, cardamom, osmanthus;vetiver, tonka bean, amber;rodrigo flores-roux;;woody;aromatic;warm spicy;citrus;fresh;https://fimgs.net/mdimg/perfume-thumbs/375x500.12965.jpg
